rental_item_id,contract_id,vendor_equipment_id,equipment_category,equipment_name,model,serial_number,quantity,daily_rate,weekly_rate,monthly_rate,delivery_fee,pickup_fee,currency_code,condition_at_delivery,condition_at_return,created_at,updated_at,correlation_id
RIT-000001,RC-2026-0001,VEQ-01-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00001,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2024-08-05T12:00:00Z,2024-08-30T12:00:00Z,ER-2026-000001
RIT-000002,RC-2026-0002,VEQ-01-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00002,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2024-08-14T12:00:00Z,2024-09-15T12:00:00Z,ER-2026-000002
RIT-000003,RC-2026-0003,VEQ-01-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00003,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2024-08-23T12:00:00Z,2024-10-01T12:00:00Z,ER-2026-000003
RIT-000004,RC-2026-0004,VEQ-01-04,Excavator,Mini Excavator,CAT 305,CAT305-00004,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2024-09-01T12:00:00Z,2024-09-19T12:00:00Z,ER-2026-000004
RIT-000005,RC-2026-0005,VEQ-02-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00005,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2024-09-10T12:00:00Z,2024-10-05T12:00:00Z,ER-2026-000005
RIT-000006,RC-2026-0006,VEQ-02-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00006,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2024-09-19T12:00:00Z,2024-10-21T12:00:00Z,ER-2026-000006
RIT-000007,RC-2026-0007,VEQ-02-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00007,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2024-09-28T12:00:00Z,2024-11-27T12:00:00Z,ER-2026-000007
RIT-000008,RC-2026-0008,VEQ-02-04,Excavator,Mini Excavator,CAT 305,CAT305-00008,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2024-10-07T12:00:00Z,2024-10-25T12:00:00Z,ER-2026-000008
RIT-000009,RC-2026-0009,VEQ-03-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00009,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2024-10-16T12:00:00Z,2024-11-10T12:00:00Z,ER-2026-000009
RIT-000010,RC-2026-0010,VEQ-03-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00010,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2024-10-25T12:00:00Z,2024-11-26T12:00:00Z,ER-2026-000010
RIT-000011,RC-2026-0011,VEQ-03-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00011,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2024-11-03T12:00:00Z,2024-12-12T12:00:00Z,ER-2026-000011
RIT-000012,RC-2026-0012,VEQ-03-04,Excavator,Mini Excavator,CAT 305,CAT305-00012,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2024-11-12T12:00:00Z,2024-11-30T12:00:00Z,ER-2026-000012
RIT-000013,RC-2026-0013,VEQ-04-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00013,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2024-11-21T12:00:00Z,2024-12-16T12:00:00Z,ER-2026-000013
RIT-000014,RC-2026-0014,VEQ-04-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00014,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2024-11-30T12:00:00Z,2025-01-22T12:00:00Z,ER-2026-000014
RIT-000015,RC-2026-0015,VEQ-04-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00015,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2024-12-09T12:00:00Z,2025-01-17T12:00:00Z,ER-2026-000015
RIT-000016,RC-2026-0016,VEQ-04-04,Excavator,Mini Excavator,CAT 305,CAT305-00016,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2024-12-18T12:00:00Z,2025-01-05T12:00:00Z,ER-2026-000016
RIT-000017,RC-2026-0017,VEQ-05-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00017,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2024-12-27T12:00:00Z,2025-01-21T12:00:00Z,ER-2026-000017
RIT-000018,RC-2026-0018,VEQ-05-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00018,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-01-05T12:00:00Z,2025-02-06T12:00:00Z,ER-2026-000018
RIT-000019,RC-2026-0019,VEQ-05-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00019,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-01-14T12:00:00Z,2025-02-22T12:00:00Z,ER-2026-000019
RIT-000020,RC-2026-0020,VEQ-05-04,Excavator,Mini Excavator,CAT 305,CAT305-00020,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-01-23T12:00:00Z,2025-02-10T12:00:00Z,ER-2026-000020
RIT-000021,RC-2026-0021,VEQ-06-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00021,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2025-02-01T12:00:00Z,2025-03-19T12:00:00Z,ER-2026-000021
RIT-000022,RC-2026-0022,VEQ-06-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00022,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-02-10T12:00:00Z,2025-03-14T12:00:00Z,ER-2026-000022
RIT-000023,RC-2026-0023,VEQ-06-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00023,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-02-19T12:00:00Z,2025-03-30T12:00:00Z,ER-2026-000023
RIT-000024,RC-2026-0024,VEQ-06-04,Excavator,Mini Excavator,CAT 305,CAT305-00024,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-02-28T12:00:00Z,2025-03-18T12:00:00Z,ER-2026-000024
RIT-000025,RC-2026-0025,VEQ-01-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00025,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-03-09T12:00:00Z,2025-04-03T12:00:00Z,ER-2026-000025
RIT-000026,RC-2026-0026,VEQ-01-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00026,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-03-18T12:00:00Z,2025-04-19T12:00:00Z,ER-2026-000026
RIT-000027,RC-2026-0027,VEQ-01-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00027,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-03-27T12:00:00Z,2025-05-05T12:00:00Z,ER-2026-000027
RIT-000028,RC-2026-0028,VEQ-01-04,Excavator,Mini Excavator,CAT 305,CAT305-00028,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2025-04-05T12:00:00Z,2025-05-14T12:00:00Z,ER-2026-000028
RIT-000029,RC-2026-0029,VEQ-02-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00029,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-04-14T12:00:00Z,2025-05-09T12:00:00Z,ER-2026-000029
RIT-000030,RC-2026-0030,VEQ-02-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00030,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-04-23T12:00:00Z,2025-05-25T12:00:00Z,ER-2026-000030
RIT-000031,RC-2026-0031,VEQ-02-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00031,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-05-02T12:00:00Z,2025-06-10T12:00:00Z,ER-2026-000031
RIT-000032,RC-2026-0032,VEQ-02-04,Excavator,Mini Excavator,CAT 305,CAT305-00032,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-05-11T12:00:00Z,2025-05-29T12:00:00Z,ER-2026-000032
RIT-000033,RC-2026-0033,VEQ-03-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00033,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-05-20T12:00:00Z,2025-06-14T12:00:00Z,ER-2026-000033
RIT-000034,RC-2026-0034,VEQ-03-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00034,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-05-29T12:00:00Z,2025-06-30T12:00:00Z,ER-2026-000034
RIT-000035,RC-2026-0035,VEQ-03-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00035,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2025-06-07T12:00:00Z,2025-08-06T12:00:00Z,ER-2026-000035
RIT-000036,RC-2026-0036,VEQ-03-04,Excavator,Mini Excavator,CAT 305,CAT305-00036,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-06-16T12:00:00Z,2025-07-04T12:00:00Z,ER-2026-000036
RIT-000037,RC-2026-0037,VEQ-04-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00037,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-06-25T12:00:00Z,2025-07-20T12:00:00Z,ER-2026-000037
RIT-000038,RC-2026-0038,VEQ-04-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00038,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-07-04T12:00:00Z,2025-08-05T12:00:00Z,ER-2026-000038
RIT-000039,RC-2026-0039,VEQ-04-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00039,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-07-13T12:00:00Z,2025-08-21T12:00:00Z,ER-2026-000039
RIT-000040,RC-2026-0040,VEQ-04-04,Excavator,Mini Excavator,CAT 305,CAT305-00040,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-07-22T12:00:00Z,2025-08-09T12:00:00Z,ER-2026-000040
RIT-000041,RC-2026-0041,VEQ-05-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00041,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-07-31T12:00:00Z,2025-08-25T12:00:00Z,ER-2026-000041
RIT-000042,RC-2026-0042,VEQ-05-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00042,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2025-08-09T12:00:00Z,2025-10-01T12:00:00Z,ER-2026-000042
RIT-000043,RC-2026-0043,VEQ-05-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00043,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-08-18T12:00:00Z,2025-09-26T12:00:00Z,ER-2026-000043
RIT-000044,RC-2026-0044,VEQ-05-04,Excavator,Mini Excavator,CAT 305,CAT305-00044,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-08-27T12:00:00Z,2025-09-14T12:00:00Z,ER-2026-000044
RIT-000045,RC-2026-0045,VEQ-06-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00045,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-09-05T12:00:00Z,2025-09-30T12:00:00Z,ER-2026-000045
RIT-000046,RC-2026-0046,VEQ-06-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00046,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-09-14T12:00:00Z,2025-10-16T12:00:00Z,ER-2026-000046
RIT-000047,RC-2026-0047,VEQ-06-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00047,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-09-23T12:00:00Z,2025-11-01T12:00:00Z,ER-2026-000047
RIT-000048,RC-2026-0048,VEQ-06-04,Excavator,Mini Excavator,CAT 305,CAT305-00048,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-10-02T12:00:00Z,2025-10-20T12:00:00Z,ER-2026-000048
RIT-000049,RC-2026-0049,VEQ-01-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00049,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2025-10-11T12:00:00Z,2025-11-26T12:00:00Z,ER-2026-000049
RIT-000050,RC-2026-0050,VEQ-01-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00050,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-10-20T12:00:00Z,2025-11-21T12:00:00Z,ER-2026-000050
RIT-000051,RC-2026-0051,VEQ-01-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00051,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-10-29T12:00:00Z,2025-12-07T12:00:00Z,ER-2026-000051
RIT-000052,RC-2026-0052,VEQ-01-04,Excavator,Mini Excavator,CAT 305,CAT305-00052,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2025-11-07T12:00:00Z,2025-11-25T12:00:00Z,ER-2026-000052
