rental_request_id,request_number,requested_by_staff_id,department_id,delivery_location_id,request_date,needed_start_date,needed_end_date,business_reason,estimated_cost,currency_code,request_status,approved_by_staff_id,approval_date,created_at,updated_at,correlation_id
RR-2026-0001,REQ-2024-0001,STF-001,DEP-001,LOC-CHI-001,2024-08-05,2024-08-09,2024-08-30,Plant outage support,4365.00,USD,Approved,STF-002,2024-08-07,2024-08-05T12:00:00Z,2024-08-09T12:00:00Z,ER-2026-000001
RR-2026-0002,REQ-2024-0002,STF-005,DEP-002,LOC-DAL-001,2024-08-14,2024-08-18,2024-09-15,Field repair,2520.00,USD,Approved,STF-006,2024-08-16,2024-08-14T12:00:00Z,2024-08-18T12:00:00Z,ER-2026-000002
RR-2026-0003,REQ-2024-0003,STF-009,DEP-003,LOC-ATL-001,2024-08-23,2024-08-27,2024-10-01,Capital project,4875.00,USD,Approved,STF-010,2024-08-25,2024-08-23T12:00:00Z,2024-08-27T12:00:00Z,ER-2026-000003
RR-2026-0004,REQ-2024-0004,STF-013,DEP-004,LOC-PHX-001,2024-09-01,2024-09-05,2024-09-19,Planned maintenance,2370.00,USD,Approved,STF-014,2024-09-03,2024-09-01T12:00:00Z,2024-09-05T12:00:00Z,ER-2026-000004
RR-2026-0005,REQ-2024-0005,STF-001,DEP-001,LOC-CHI-001,2024-09-10,2024-09-14,2024-10-05,Plant outage support,4365.00,USD,Approved,STF-002,2024-09-12,2024-09-10T12:00:00Z,2024-09-14T12:00:00Z,ER-2026-000005
RR-2026-0006,REQ-2024-0006,STF-005,DEP-002,LOC-DAL-001,2024-09-19,2024-09-23,2024-10-21,Field repair,2520.00,USD,Approved,STF-006,2024-09-21,2024-09-19T12:00:00Z,2024-09-23T12:00:00Z,ER-2026-000006
RR-2026-0007,REQ-2024-0007,STF-009,DEP-003,LOC-ATL-001,2024-09-28,2024-10-02,2024-11-27,Capital project,4875.00,USD,Approved,STF-010,2024-09-30,2024-09-28T12:00:00Z,2024-10-02T12:00:00Z,ER-2026-000007
RR-2026-0008,REQ-2024-0008,STF-013,DEP-004,LOC-PHX-001,2024-10-07,2024-10-11,2024-10-25,Planned maintenance,2370.00,USD,Approved,STF-014,2024-10-09,2024-10-07T12:00:00Z,2024-10-11T12:00:00Z,ER-2026-000008
RR-2026-0009,REQ-2024-0009,STF-001,DEP-001,LOC-CHI-001,2024-10-16,2024-10-20,2024-11-10,Plant outage support,4365.00,USD,Approved,STF-002,2024-10-18,2024-10-16T12:00:00Z,2024-10-20T12:00:00Z,ER-2026-000009
RR-2026-0010,REQ-2024-0010,STF-005,DEP-002,LOC-DAL-001,2024-10-25,2024-10-29,2024-11-26,Field repair,2520.00,USD,Approved,STF-006,2024-10-27,2024-10-25T12:00:00Z,2024-10-29T12:00:00Z,ER-2026-000010
