vendor_equipment_id,vendor_id,vendor_location_id,equipment_category,equipment_name,model,daily_rate,weekly_rate,monthly_rate,available_quantity,total_quantity,availability_status,replacement_value,currency_code,last_availability_sync_at
VEQ-01-01,VND-001,VLOC-01-01,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-01-02,VND-001,VLOC-01-01,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-01-03,VND-001,VLOC-01-01,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-01-04,VND-001,VLOC-01-01,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
VEQ-02-01,VND-001,VLOC-01-02,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-02-02,VND-001,VLOC-01-02,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-02-03,VND-001,VLOC-01-02,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-02-04,VND-001,VLOC-01-02,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
VEQ-03-01,VND-002,VLOC-02-01,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-03-02,VND-002,VLOC-02-01,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-03-03,VND-002,VLOC-02-01,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-03-04,VND-002,VLOC-02-01,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
VEQ-04-01,VND-002,VLOC-02-02,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-04-02,VND-002,VLOC-02-02,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-04-03,VND-002,VLOC-02-02,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-04-04,VND-002,VLOC-02-02,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
VEQ-05-01,VND-003,VLOC-03-01,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-05-02,VND-003,VLOC-03-01,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-05-03,VND-003,VLOC-03-01,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-05-04,VND-003,VLOC-03-01,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
VEQ-06-01,VND-003,VLOC-03-02,Lift,60-ft Boom Lift,JLG 600S,485.00,1455.00,4850.00,1,1,Available,38800.00,USD,2026-08-09T12:00:00Z
VEQ-06-02,VND-003,VLOC-03-02,Generator,Towable Generator,CAT XQ35,210.00,630.00,2100.00,2,2,Available,16800.00,USD,2026-08-09T12:00:00Z
VEQ-06-03,VND-003,VLOC-03-02,Forklift,Rough Terrain Forklift,JCB 930,325.00,975.00,3250.00,1,1,Available,26000.00,USD,2026-08-09T12:00:00Z
VEQ-06-04,VND-003,VLOC-03-02,Excavator,Mini Excavator,CAT 305,395.00,1185.00,3950.00,1,1,Available,31600.00,USD,2026-08-09T12:00:00Z
