flag_id,contract_id,flag_type,flag_date,target_date,days_before_end,severity,status,assigned_to_staff_id,resolution_notes,alert_window,alert_sent_at,created_at,updated_at,correlation_id
FLG-000007-0,RC-2026-0007,Overdue,2026-08-09,2024-11-27,0,High,Open,STF-010,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000007
FLG-000014-0,RC-2026-0014,Overdue,2026-08-09,2025-01-22,0,High,Open,STF-006,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000014
FLG-000021-0,RC-2026-0021,Overdue,2026-08-09,2025-03-19,0,High,Open,STF-002,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000021
FLG-000028-0,RC-2026-0028,Overdue,2026-08-09,2025-05-14,0,High,Open,STF-014,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000028
FLG-000035-0,RC-2026-0035,Overdue,2026-08-09,2025-08-06,0,High,Open,STF-010,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000035
FLG-000042-0,RC-2026-0042,Overdue,2026-08-09,2025-10-01,0,High,Open,STF-006,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000042
FLG-000049-0,RC-2026-0049,Overdue,2026-08-09,2025-11-26,0,High,Open,STF-002,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000049
FLG-000056-0,RC-2026-0056,Overdue,2026-08-09,2026-01-21,0,High,Open,STF-014,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000056
FLG-000063-0,RC-2026-0063,Overdue,2026-08-09,2026-04-15,0,High,Open,STF-010,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000063
FLG-000070-0,RC-2026-0070,Overdue,2026-08-09,2026-06-10,0,High,Open,STF-006,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000070
FLG-000077-0,RC-2026-0077,Overdue,2026-08-09,2026-08-05,0,High,Open,STF-002,,0,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000077
FLG-000079-7,RC-2026-0079,SevenDayExpiry,2026-08-09,2026-08-16,7,Medium,Open,STF-010,,7,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000079
FLG-000081-28,RC-2026-0081,FourWeekExpiry,2026-08-09,2026-08-20,11,Medium,Open,STF-002,,28,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000081
FLG-000082-28,RC-2026-0082,FourWeekExpiry,2026-08-09,2026-09-05,27,Medium,Open,STF-006,,28,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000082
