event_id,contract_id,event_type,event_timestamp,performed_by_staff_id,old_end_date,new_end_date,reason_code,notes,source_system,source_event_id,created_at,updated_at,correlation_id
RLE-000001-1,RC-2026-0001,Rent,2024-08-09T12:00:00Z,STF-001,,,,Rent event for RC-2026-0001,EquipmentRENTAL_LCversion,ER-2026-000001-1,2024-08-09T12:00:00Z,2024-08-09T12:00:00Z,ER-2026-000001
RLE-000001-2,RC-2026-0001,Return Requested,2024-08-28T12:00:00Z,STF-001,,,,Return Requested event for RC-2026-0001,EquipmentRENTAL_LCversion,ER-2026-000001-2,2024-08-28T12:00:00Z,2024-08-28T12:00:00Z,ER-2026-000001
RLE-000001-3,RC-2026-0001,Return,2024-08-30T12:00:00Z,STF-001,,,,Return event for RC-2026-0001,EquipmentRENTAL_LCversion,ER-2026-000001-3,2024-08-30T12:00:00Z,2024-08-30T12:00:00Z,ER-2026-000001
RLE-000002-1,RC-2026-0002,Rent,2024-08-18T12:00:00Z,STF-005,,,,Rent event for RC-2026-0002,EquipmentRENTAL_LCversion,ER-2026-000002-1,2024-08-18T12:00:00Z,2024-08-18T12:00:00Z,ER-2026-000002
RLE-000002-2,RC-2026-0002,Return Requested,2024-09-13T12:00:00Z,STF-005,,,,Return Requested event for RC-2026-0002,EquipmentRENTAL_LCversion,ER-2026-000002-2,2024-09-13T12:00:00Z,2024-09-13T12:00:00Z,ER-2026-000002
RLE-000002-3,RC-2026-0002,Return,2024-09-15T12:00:00Z,STF-005,,,,Return event for RC-2026-0002,EquipmentRENTAL_LCversion,ER-2026-000002-3,2024-09-15T12:00:00Z,2024-09-15T12:00:00Z,ER-2026-000002
RLE-000003-1,RC-2026-0003,Rent,2024-08-27T12:00:00Z,STF-009,,,,Rent event for RC-2026-0003,EquipmentRENTAL_LCversion,ER-2026-000003-1,2024-08-27T12:00:00Z,2024-08-27T12:00:00Z,ER-2026-000003
RLE-000003-2,RC-2026-0003,Return Requested,2024-09-29T12:00:00Z,STF-009,,,,Return Requested event for RC-2026-0003,EquipmentRENTAL_LCversion,ER-2026-000003-2,2024-09-29T12:00:00Z,2024-09-29T12:00:00Z,ER-2026-000003
RLE-000003-3,RC-2026-0003,Return,2024-10-01T12:00:00Z,STF-009,,,,Return event for RC-2026-0003,EquipmentRENTAL_LCversion,ER-2026-000003-3,2024-10-01T12:00:00Z,2024-10-01T12:00:00Z,ER-2026-000003
RLE-000004-1,RC-2026-0004,Rent,2024-09-05T12:00:00Z,STF-013,,,,Rent event for RC-2026-0004,EquipmentRENTAL_LCversion,ER-2026-000004-1,2024-09-05T12:00:00Z,2024-09-05T12:00:00Z,ER-2026-000004
RLE-000004-2,RC-2026-0004,Return Requested,2024-09-17T12:00:00Z,STF-013,,,,Return Requested event for RC-2026-0004,EquipmentRENTAL_LCversion,ER-2026-000004-2,2024-09-17T12:00:00Z,2024-09-17T12:00:00Z,ER-2026-000004
RLE-000004-3,RC-2026-0004,Return,2024-09-19T12:00:00Z,STF-013,,,,Return event for RC-2026-0004,EquipmentRENTAL_LCversion,ER-2026-000004-3,2024-09-19T12:00:00Z,2024-09-19T12:00:00Z,ER-2026-000004
RLE-000005-1,RC-2026-0005,Rent,2024-09-14T12:00:00Z,STF-001,,,,Rent event for RC-2026-0005,EquipmentRENTAL_LCversion,ER-2026-000005-1,2024-09-14T12:00:00Z,2024-09-14T12:00:00Z,ER-2026-000005
RLE-000005-2,RC-2026-0005,Return Requested,2024-10-03T12:00:00Z,STF-001,,,,Return Requested event for RC-2026-0005,EquipmentRENTAL_LCversion,ER-2026-000005-2,2024-10-03T12:00:00Z,2024-10-03T12:00:00Z,ER-2026-000005
RLE-000005-3,RC-2026-0005,Return,2024-10-05T12:00:00Z,STF-001,,,,Return event for RC-2026-0005,EquipmentRENTAL_LCversion,ER-2026-000005-3,2024-10-05T12:00:00Z,2024-10-05T12:00:00Z,ER-2026-000005
RLE-000006-1,RC-2026-0006,Rent,2024-09-23T12:00:00Z,STF-005,,,,Rent event for RC-2026-0006,EquipmentRENTAL_LCversion,ER-2026-000006-1,2024-09-23T12:00:00Z,2024-09-23T12:00:00Z,ER-2026-000006
RLE-000006-2,RC-2026-0006,Return Requested,2024-10-19T12:00:00Z,STF-005,,,,Return Requested event for RC-2026-0006,EquipmentRENTAL_LCversion,ER-2026-000006-2,2024-10-19T12:00:00Z,2024-10-19T12:00:00Z,ER-2026-000006
RLE-000006-3,RC-2026-0006,Return,2024-10-21T12:00:00Z,STF-005,,,,Return event for RC-2026-0006,EquipmentRENTAL_LCversion,ER-2026-000006-3,2024-10-21T12:00:00Z,2024-10-21T12:00:00Z,ER-2026-000006
RLE-000007-1,RC-2026-0007,Rent,2024-10-02T12:00:00Z,STF-009,,,,Rent event for RC-2026-0007,EquipmentRENTAL_LCversion,ER-2026-000007-1,2024-10-02T12:00:00Z,2024-10-02T12:00:00Z,ER-2026-000007
RLE-000007-2,RC-2026-0007,Extend,2024-11-06T12:00:00Z,STF-009,2024-11-06,2024-11-27,Project Delay,Extend event for RC-2026-0007,EquipmentRENTAL_LCversion,ER-2026-000007-2,2024-11-06T12:00:00Z,2024-11-06T12:00:00Z,ER-2026-000007
RLE-000008-1,RC-2026-0008,Rent,2024-10-11T12:00:00Z,STF-013,,,,Rent event for RC-2026-0008,EquipmentRENTAL_LCversion,ER-2026-000008-1,2024-10-11T12:00:00Z,2024-10-11T12:00:00Z,ER-2026-000008
RLE-000008-2,RC-2026-0008,Return Requested,2024-10-23T12:00:00Z,STF-013,,,,Return Requested event for RC-2026-0008,EquipmentRENTAL_LCversion,ER-2026-000008-2,2024-10-23T12:00:00Z,2024-10-23T12:00:00Z,ER-2026-000008
RLE-000008-3,RC-2026-0008,Return,2024-10-25T12:00:00Z,STF-013,,,,Return event for RC-2026-0008,EquipmentRENTAL_LCversion,ER-2026-000008-3,2024-10-25T12:00:00Z,2024-10-25T12:00:00Z,ER-2026-000008
RLE-000009-1,RC-2026-0009,Rent,2024-10-20T12:00:00Z,STF-001,,,,Rent event for RC-2026-0009,EquipmentRENTAL_LCversion,ER-2026-000009-1,2024-10-20T12:00:00Z,2024-10-20T12:00:00Z,ER-2026-000009
RLE-000009-2,RC-2026-0009,Return Requested,2024-11-08T12:00:00Z,STF-001,,,,Return Requested event for RC-2026-0009,EquipmentRENTAL_LCversion,ER-2026-000009-2,2024-11-08T12:00:00Z,2024-11-08T12:00:00Z,ER-2026-000009
RLE-000009-3,RC-2026-0009,Return,2024-11-10T12:00:00Z,STF-001,,,,Return event for RC-2026-0009,EquipmentRENTAL_LCversion,ER-2026-000009-3,2024-11-10T12:00:00Z,2024-11-10T12:00:00Z,ER-2026-000009
RLE-000010-1,RC-2026-0010,Rent,2024-10-29T12:00:00Z,STF-005,,,,Rent event for RC-2026-0010,EquipmentRENTAL_LCversion,ER-2026-000010-1,2024-10-29T12:00:00Z,2024-10-29T12:00:00Z,ER-2026-000010
RLE-000010-2,RC-2026-0010,Return Requested,2024-11-24T12:00:00Z,STF-005,,,,Return Requested event for RC-2026-0010,EquipmentRENTAL_LCversion,ER-2026-000010-2,2024-11-24T12:00:00Z,2024-11-24T12:00:00Z,ER-2026-000010
