pickup_return_request_id,contract_id,vendor_id,vendor_location_id,request_type,requested_date,preferred_pickup_date,scheduled_pickup_date,vendor_confirmation_number,request_status,inspection_result,damage_flags,equipment_returned_date,created_at,updated_at,correlation_id
PRR-000001,RC-2026-0001,VND-001,VLOC-01-01,Standard Pickup,2024-08-27,2024-08-29,2024-08-30,PICK-000001,Completed,Pass,None,2024-08-30,2024-08-27T12:00:00Z,2024-08-30T12:00:00Z,ER-2026-000001
PRR-000002,RC-2026-0002,VND-001,VLOC-01-01,Standard Pickup,2024-09-12,2024-09-14,2024-09-15,PICK-000002,Completed,Pass,None,2024-09-15,2024-09-12T12:00:00Z,2024-09-15T12:00:00Z,ER-2026-000002
PRR-000003,RC-2026-0003,VND-001,VLOC-01-01,Standard Pickup,2024-09-28,2024-09-30,2024-10-01,PICK-000003,Completed,Pass,None,2024-10-01,2024-09-28T12:00:00Z,2024-10-01T12:00:00Z,ER-2026-000003
PRR-000004,RC-2026-0004,VND-001,VLOC-01-01,Standard Pickup,2024-09-16,2024-09-18,2024-09-19,PICK-000004,Completed,Pass,None,2024-09-19,2024-09-16T12:00:00Z,2024-09-19T12:00:00Z,ER-2026-000004
PRR-000005,RC-2026-0005,VND-001,VLOC-01-02,Standard Pickup,2024-10-02,2024-10-04,2024-10-05,PICK-000005,Completed,Pass,None,2024-10-05,2024-10-02T12:00:00Z,2024-10-05T12:00:00Z,ER-2026-000005
PRR-000006,RC-2026-0006,VND-001,VLOC-01-02,Standard Pickup,2024-10-18,2024-10-20,2024-10-21,PICK-000006,Completed,Pass,None,2024-10-21,2024-10-18T12:00:00Z,2024-10-21T12:00:00Z,ER-2026-000006
PRR-000008,RC-2026-0008,VND-001,VLOC-01-02,Standard Pickup,2024-10-22,2024-10-24,2024-10-25,PICK-000008,Completed,Pass,None,2024-10-25,2024-10-22T12:00:00Z,2024-10-25T12:00:00Z,ER-2026-000008
PRR-000009,RC-2026-0009,VND-002,VLOC-02-01,Standard Pickup,2024-11-07,2024-11-09,2024-11-10,PICK-000009,Completed,Pass,None,2024-11-10,2024-11-07T12:00:00Z,2024-11-10T12:00:00Z,ER-2026-000009
PRR-000010,RC-2026-0010,VND-002,VLOC-02-01,Standard Pickup,2024-11-23,2024-11-25,2024-11-26,PICK-000010,Completed,Pass,None,2024-11-26,2024-11-23T12:00:00Z,2024-11-26T12:00:00Z,ER-2026-000010
PRR-000011,RC-2026-0011,VND-002,VLOC-02-01,Standard Pickup,2024-12-09,2024-12-11,2024-12-12,PICK-000011,Completed,Pass,None,2024-12-12,2024-12-09T12:00:00Z,2024-12-12T12:00:00Z,ER-2026-000011
PRR-000012,RC-2026-0012,VND-002,VLOC-02-01,Standard Pickup,2024-11-27,2024-11-29,2024-11-30,PICK-000012,Completed,Pass,None,2024-11-30,2024-11-27T12:00:00Z,2024-11-30T12:00:00Z,ER-2026-000012
PRR-000013,RC-2026-0013,VND-002,VLOC-02-02,Standard Pickup,2024-12-13,2024-12-15,2024-12-16,PICK-000013,Completed,Pass,None,2024-12-16,2024-12-13T12:00:00Z,2024-12-16T12:00:00Z,ER-2026-000013
