availability_id,vendor_equipment_id,availability_date,total_quantity,reserved_quantity,available_quantity,out_of_service_quantity,availability_status,source_system,correlation_id,created_at
AVL-VEQ-01-01-20260809,VEQ-01-01,2026-08-09,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260809,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260810,VEQ-01-01,2026-08-10,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260810,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260811,VEQ-01-01,2026-08-11,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260811,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260812,VEQ-01-01,2026-08-12,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260812,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260813,VEQ-01-01,2026-08-13,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260813,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260814,VEQ-01-01,2026-08-14,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260814,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260815,VEQ-01-01,2026-08-15,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260815,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260816,VEQ-01-01,2026-08-16,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260816,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260817,VEQ-01-01,2026-08-17,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260817,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260818,VEQ-01-01,2026-08-18,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260818,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260819,VEQ-01-01,2026-08-19,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260819,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260820,VEQ-01-01,2026-08-20,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260820,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260821,VEQ-01-01,2026-08-21,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260821,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260822,VEQ-01-01,2026-08-22,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260822,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260823,VEQ-01-01,2026-08-23,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260823,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260824,VEQ-01-01,2026-08-24,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260824,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260825,VEQ-01-01,2026-08-25,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260825,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260826,VEQ-01-01,2026-08-26,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260826,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260827,VEQ-01-01,2026-08-27,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260827,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260828,VEQ-01-01,2026-08-28,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260828,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260829,VEQ-01-01,2026-08-29,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260829,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260830,VEQ-01-01,2026-08-30,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260830,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260831,VEQ-01-01,2026-08-31,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260831,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260901,VEQ-01-01,2026-09-01,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260901,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260902,VEQ-01-01,2026-09-02,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260902,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260903,VEQ-01-01,2026-09-03,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260903,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260904,VEQ-01-01,2026-09-04,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260904,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260905,VEQ-01-01,2026-09-05,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260905,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260906,VEQ-01-01,2026-09-06,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260906,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260907,VEQ-01-01,2026-09-07,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260907,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260908,VEQ-01-01,2026-09-08,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260908,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260909,VEQ-01-01,2026-09-09,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260909,2026-08-09T12:00:00Z
AVL-VEQ-01-01-20260910,VEQ-01-01,2026-09-10,1,0,1,0,Available,EquipmentRENTAL_LCversion,ER-AVAIL-20260910,2026-08-09T12:00:00Z
