contract_id,rental_request_id,vendor_id,vendor_location_id,department_id,requested_by_staff_id,approved_by_staff_id,delivery_location_id,billing_location_id,contract_number,start_date,end_date,original_end_date,total_estimated_price,actual_total_price,tax_amount,damage_charge_amount,currency_code,billing_frequency,status,uipath_case_id,source_event_id,created_at,updated_at,correlation_id
RC-2026-0001,RR-2026-0001,VND-001,VLOC-01-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2024-0001,2024-08-09,2024-08-30,2024-08-30,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000001,VENDOR-EVT-000001,2024-08-05T12:00:00Z,2024-08-30T12:00:00Z,ER-2026-000001
RC-2026-0002,RR-2026-0002,VND-001,VLOC-01-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2024-0002,2024-08-18,2024-09-15,2024-09-15,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000002,VENDOR-EVT-000002,2024-08-14T12:00:00Z,2024-09-15T12:00:00Z,ER-2026-000002
RC-2026-0003,RR-2026-0003,VND-001,VLOC-01-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2024-0003,2024-08-27,2024-10-01,2024-10-01,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000003,2024-08-23T12:00:00Z,2024-10-01T12:00:00Z,ER-2026-000003
RC-2026-0004,RR-2026-0004,VND-001,VLOC-01-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2024-0004,2024-09-05,2024-09-19,2024-09-19,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000004,VENDOR-EVT-000004,2024-09-01T12:00:00Z,2024-09-19T12:00:00Z,ER-2026-000004
RC-2026-0005,RR-2026-0005,VND-001,VLOC-01-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2024-0005,2024-09-14,2024-10-05,2024-10-05,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000005,VENDOR-EVT-000005,2024-09-10T12:00:00Z,2024-10-05T12:00:00Z,ER-2026-000005
RC-2026-0006,RR-2026-0006,VND-001,VLOC-01-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2024-0006,2024-09-23,2024-10-21,2024-10-21,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000006,2024-09-19T12:00:00Z,2024-10-21T12:00:00Z,ER-2026-000006
RC-2026-0007,RR-2026-0007,VND-001,VLOC-01-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2024-0007,2024-10-02,2024-11-06,2024-11-06,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000007,VENDOR-EVT-000007,2024-09-28T12:00:00Z,2024-11-06T12:00:00Z,ER-2026-000007
RC-2026-0008,RR-2026-0008,VND-001,VLOC-01-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2024-0008,2024-10-11,2024-10-25,2024-10-25,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000008,VENDOR-EVT-000008,2024-10-07T12:00:00Z,2024-10-25T12:00:00Z,ER-2026-000008
RC-2026-0009,RR-2026-0009,VND-002,VLOC-02-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2024-0009,2024-10-20,2024-11-10,2024-11-10,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000009,2024-10-16T12:00:00Z,2024-11-10T12:00:00Z,ER-2026-000009
RC-2026-0010,RR-2026-0010,VND-002,VLOC-02-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-002-CN-2024-0010,2024-10-29,2024-11-26,2024-11-26,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000010,VENDOR-EVT-000010,2024-10-25T12:00:00Z,2024-11-26T12:00:00Z,ER-2026-000010
